name,category,subcategory,niche,city,lat,lon,rating,price_level,has_website,has_phone,opening_hours,cuisine,address,osm_class,osm_type,importance,description
Instagrill Rabat,restaurant,barbecue,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0193504,-6.8427468,3.5,2,False,False,,barbecue,Rue Ibn Haoukal زنقة ابن حوقل,amenity,restaurant,7.628976882577275e-05,"Instagrill Rabat - casual restaurant in Rabat ⵔⴱⴰⵟ الرباط, cuisine: barbecue, rated 3.5/5"
La Ola,restaurant,moroccan;seafood,casual,Rabat ⵔⴱⴰⵟ الرباط,33.9746719,-6.8293635,3.5,2,False,True,Mo-Su 08:00-22:00,moroccan;seafood,Rue du Rif,amenity,restaurant,7.628976882577275e-05,"La Ola - casual restaurant in Rabat ⵔⴱⴰⵟ الرباط, cuisine: moroccan;seafood, has opening hours, has phone, rated 3.5/5"
Café,cafe,cafe,casual,Rabat ⵔⴱⴰⵟ الرباط,33.9612113,-6.8649562,3.5,2,False,False,,,Avenue Al Arz شارع الأرز,amenity,cafe,7.628976882577275e-05,"Café - casual cafe in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
Café مقهى آدم,cafe,cafe,casual,Rabat ⵔⴱⴰⵟ الرباط,33.9906928,-6.8154751,3.5,2,False,False,,,RP4025,amenity,cafe,7.628976882577275e-05,"Café مقهى آدم - casual cafe in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
La vue de Rabat,cafe,cafe,casual,Rabat ⵔⴱⴰⵟ الرباط,33.9943640,-6.8804758,3.5,2,False,True,Mo-Su 08:00-00:00,,Avenue Mustapha Assayeh شارع مصطفى السايح,amenity,cafe,3.750133516437045e-05,"La vue de Rabat - casual cafe in Rabat ⵔⴱⴰⵟ الرباط, has opening hours, has phone, rated 3.5/5"
Bar à Boucles Rabat,bar,bar,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0130055,-6.8525407,3.5,2,False,False,,,Rue Mbarek El Bekkay زنقة مبارك البكاي,shop,hairdresser,7.628976882577275e-05,"Bar à Boucles Rabat - casual bar in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
favela bar,bar,bar,casual,Rabat ⵔⴱⴰⵟ الرباط,33.9963120,-6.8483413,3.5,2,False,False,,,Avenue Atlas شارع الأطلس,building,yes,7.628976882577275e-05,"favela bar - casual bar in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
Bar Lounge Le Zebrano,bar,bar,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0206289,-6.8272789,3.5,2,False,False,,,Avenue Moulay Ismail شارع مولاي اسماعيل,amenity,nightclub,7.628976882577275e-05,"Bar Lounge Le Zebrano - casual bar in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
Bar Jour Et Nuit,bar,bar,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0221306,-6.8309667,3.5,2,False,False,,,Avenue Abdelmoumen شارع عبد المومن,amenity,bar,7.628976882577275e-05,"Bar Jour Et Nuit - casual bar in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
Henry's Bar,bar,bar,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0169745,-6.8348968,3.5,2,False,False,,,Rue Prince Moulay Abdellah زنقة الأمير مولاي عبد الله,amenity,bar,7.628976882577275e-05,"Henry's Bar - casual bar in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
